pop_wt,pop_ko
quiescent,intermediate
proliferative,intermediate
intermediate,quiescent
intermediate,quiescent
proliferative,quiescent
intermediate,intermediate
intermediate,intermediate
intermediate,proliferative
quiescent,proliferative
proliferative,proliferative
quiescent,intermediate
proliferative,intermediate
quiescent,proliferative
quiescent,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
proliferative,intermediate
proliferative,intermediate
quiescent,proliferative
quiescent,proliferative
proliferative,intermediate
intermediate,quiescent
proliferative,quiescent
intermediate,intermediate
intermediate,intermediate
intermediate,proliferative
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
proliferative,quiescent
quiescent,intermediate
intermediate,intermediate
quiescent,proliferative
proliferative,intermediate
quiescent,proliferative
proliferative,quiescent
quiescent,quiescent
intermediate,intermediate
quiescent,quiescent
quiescent,intermediate
intermediate,intermediate
quiescent,quiescent
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
proliferative,quiescent
quiescent,intermediate
quiescent,quiescent
quiescent,proliferative
quiescent,intermediate
intermediate,proliferative
proliferative,quiescent
intermediate,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
quiescent,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
intermediate,proliferative
quiescent,intermediate
intermediate,quiescent
proliferative,proliferative
proliferative,intermediate
quiescent,intermediate
quiescent,quiescent
proliferative,intermediate
quiescent,intermediate
intermediate,proliferative
intermediate,quiescent
intermediate,quiescent
intermediate,quiescent
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
proliferative,proliferative
quiescent,proliferative
proliferative,proliferative
intermediate,proliferative
intermediate,intermediate
proliferative,quiescent
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,proliferative
intermediate,quiescent
proliferative,proliferative
quiescent,intermediate
proliferative,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
quiescent,proliferative
intermediate,proliferative
quiescent,quiescent
quiescent,quiescent
quiescent,proliferative
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,intermediate
proliferative,proliferative
quiescent,quiescent
intermediate,intermediate
proliferative,intermediate
proliferative,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,proliferative
intermediate,intermediate
intermediate,proliferative
proliferative,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
proliferative,quiescent
proliferative,intermediate
intermediate,quiescent
intermediate,proliferative
quiescent,quiescent
proliferative,quiescent
quiescent,intermediate
proliferative,quiescent
quiescent,proliferative
intermediate,proliferative
intermediate,intermediate
quiescent,proliferative
proliferative,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
quiescent,intermediate
intermediate,quiescent
intermediate,proliferative
proliferative,intermediate
proliferative,intermediate
intermediate,proliferative
intermediate,intermediate
proliferative,intermediate
proliferative,quiescent
quiescent,intermediate
proliferative,proliferative
proliferative,quiescent
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,proliferative
quiescent,intermediate
intermediate,intermediate
intermediate,quiescent
proliferative,quiescent
quiescent,quiescent
proliferative,quiescent
quiescent,proliferative
quiescent,intermediate
proliferative,proliferative
intermediate,intermediate
quiescent,proliferative
intermediate,quiescent
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,proliferative
proliferative,proliferative
proliferative,intermediate
quiescent,quiescent
quiescent,intermediate
proliferative,proliferative
proliferative,quiescent
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
quiescent,proliferative
quiescent,intermediate
quiescent,quiescent
quiescent,intermediate
quiescent,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,intermediate
proliferative,proliferative
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,quiescent
intermediate,intermediate
quiescent,quiescent
proliferative,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,proliferative
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,proliferative
proliferative,intermediate
intermediate,proliferative
proliferative,proliferative
quiescent,quiescent
intermediate,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,proliferative
proliferative,intermediate
intermediate,intermediate
quiescent,quiescent
proliferative,intermediate
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
quiescent,quiescent
intermediate,intermediate
proliferative,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
quiescent,quiescent
intermediate,proliferative
quiescent,quiescent
proliferative,intermediate
proliferative,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,proliferative
proliferative,intermediate
quiescent,quiescent
quiescent,quiescent
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,proliferative
proliferative,intermediate
quiescent,proliferative
proliferative,intermediate
intermediate,quiescent
intermediate,proliferative
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,quiescent
quiescent,proliferative
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,quiescent
proliferative,intermediate
intermediate,quiescent
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,proliferative
intermediate,intermediate
proliferative,quiescent
intermediate,quiescent
quiescent,quiescent
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,proliferative
quiescent,proliferative
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
proliferative,intermediate
proliferative,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
quiescent,intermediate
quiescent,proliferative
intermediate,intermediate
intermediate,intermediate
quiescent,proliferative
intermediate,intermediate
quiescent,intermediate
intermediate,proliferative
intermediate,quiescent
intermediate,proliferative
quiescent,quiescent
quiescent,proliferative
quiescent,proliferative
intermediate,intermediate
proliferative,proliferative
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
proliferative,intermediate
quiescent,quiescent
quiescent,intermediate
quiescent,intermediate
intermediate,proliferative
quiescent,proliferative
proliferative,quiescent
quiescent,intermediate
intermediate,quiescent
proliferative,quiescent
intermediate,quiescent
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
proliferative,proliferative
proliferative,intermediate
proliferative,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,quiescent
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,proliferative
intermediate,proliferative
proliferative,intermediate
intermediate,intermediate
quiescent,intermediate
proliferative,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,proliferative
intermediate,quiescent
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
proliferative,quiescent
quiescent,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,quiescent
proliferative,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
proliferative,quiescent
intermediate,intermediate
intermediate,proliferative
intermediate,proliferative
proliferative,intermediate
intermediate,quiescent
proliferative,intermediate
proliferative,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
proliferative,quiescent
intermediate,intermediate
proliferative,intermediate
intermediate,quiescent
quiescent,quiescent
intermediate,proliferative
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
proliferative,proliferative
quiescent,proliferative
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,proliferative
intermediate,quiescent
intermediate,proliferative
proliferative,intermediate
intermediate,intermediate
quiescent,intermediate
quiescent,proliferative
proliferative,quiescent
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,proliferative
intermediate,intermediate
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
proliferative,proliferative
quiescent,intermediate
intermediate,quiescent
intermediate,quiescent
intermediate,proliferative
proliferative,intermediate
quiescent,proliferative
proliferative,intermediate
proliferative,proliferative
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
proliferative,proliferative
intermediate,intermediate
quiescent,proliferative
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
quiescent,quiescent
intermediate,quiescent
intermediate,proliferative
intermediate,intermediate
proliferative,proliferative
proliferative,quiescent
proliferative,proliferative
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
proliferative,proliferative
intermediate,quiescent
proliferative,quiescent
quiescent,intermediate
quiescent,proliferative
quiescent,quiescent
intermediate,quiescent
intermediate,quiescent
quiescent,intermediate
intermediate,quiescent
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,quiescent
intermediate,intermediate
intermediate,intermediate
proliferative,quiescent
proliferative,quiescent
quiescent,proliferative
intermediate,intermediate
quiescent,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,proliferative
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,proliferative
intermediate,intermediate
quiescent,proliferative
proliferative,intermediate
proliferative,quiescent
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,proliferative
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
proliferative,intermediate
intermediate,proliferative
quiescent,quiescent
intermediate,intermediate
proliferative,proliferative
proliferative,intermediate
intermediate,intermediate
proliferative,quiescent
quiescent,intermediate
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,quiescent
quiescent,quiescent
quiescent,proliferative
quiescent,quiescent
intermediate,quiescent
proliferative,quiescent
intermediate,quiescent
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,quiescent
intermediate,proliferative
intermediate,quiescent
quiescent,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,proliferative
proliferative,proliferative
intermediate,intermediate
intermediate,intermediate
intermediate,proliferative
quiescent,proliferative
intermediate,proliferative
proliferative,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,proliferative
intermediate,quiescent
quiescent,quiescent
proliferative,intermediate
intermediate,intermediate
proliferative,quiescent
proliferative,intermediate
quiescent,intermediate
intermediate,quiescent
intermediate,proliferative
quiescent,intermediate
quiescent,intermediate
intermediate,proliferative
intermediate,intermediate
quiescent,quiescent
quiescent,proliferative
proliferative,intermediate
quiescent,proliferative
quiescent,intermediate
intermediate,quiescent
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,proliferative
quiescent,intermediate
proliferative,intermediate
intermediate,proliferative
proliferative,intermediate
quiescent,quiescent
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
quiescent,quiescent
intermediate,proliferative
intermediate,proliferative
quiescent,intermediate
intermediate,intermediate
quiescent,proliferative
intermediate,intermediate
intermediate,proliferative
quiescent,intermediate
intermediate,intermediate
proliferative,intermediate
proliferative,intermediate
quiescent,intermediate
proliferative,quiescent
quiescent,quiescent
intermediate,proliferative
quiescent,intermediate
quiescent,intermediate
intermediate,quiescent
intermediate,intermediate
quiescent,intermediate
intermediate,proliferative
proliferative,quiescent
quiescent,quiescent
quiescent,intermediate
quiescent,quiescent
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,quiescent
quiescent,intermediate
quiescent,quiescent
intermediate,proliferative
intermediate,intermediate
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,proliferative
proliferative,proliferative
intermediate,proliferative
intermediate,quiescent
proliferative,intermediate
intermediate,intermediate
proliferative,intermediate
quiescent,intermediate
quiescent,intermediate
intermediate,proliferative
proliferative,quiescent
proliferative,quiescent
quiescent,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,proliferative
quiescent,proliferative
proliferative,quiescent
proliferative,intermediate
intermediate,intermediate
proliferative,quiescent
quiescent,proliferative
intermediate,proliferative
intermediate,quiescent
intermediate,intermediate
proliferative,proliferative
quiescent,intermediate
quiescent,quiescent
intermediate,quiescent
quiescent,intermediate
quiescent,quiescent
proliferative,intermediate
intermediate,intermediate
intermediate,proliferative
quiescent,quiescent
quiescent,quiescent
proliferative,quiescent
intermediate,proliferative
intermediate,proliferative
proliferative,proliferative
proliferative,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
proliferative,quiescent
intermediate,intermediate
intermediate,intermediate
proliferative,proliferative
proliferative,intermediate
intermediate,proliferative
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
intermediate,proliferative
intermediate,intermediate
proliferative,intermediate
intermediate,intermediate
intermediate,quiescent
intermediate,intermediate
proliferative,proliferative
quiescent,quiescent
quiescent,proliferative
intermediate,quiescent
intermediate,proliferative
quiescent,intermediate
proliferative,intermediate
intermediate,proliferative
proliferative,intermediate
quiescent,proliferative
intermediate,quiescent
quiescent,quiescent
proliferative,proliferative
intermediate,quiescent
intermediate,quiescent
proliferative,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
proliferative,intermediate
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
proliferative,intermediate
proliferative,intermediate
quiescent,intermediate
intermediate,proliferative
quiescent,intermediate
intermediate,quiescent
quiescent,proliferative
quiescent,intermediate
proliferative,quiescent
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
proliferative,proliferative
quiescent,intermediate
quiescent,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
intermediate,intermediate
intermediate,proliferative
intermediate,intermediate
intermediate,intermediate
intermediate,intermediate
quiescent,quiescent
quiescent,intermediate
quiescent,quiescent
intermediate,intermediate
quiescent,proliferative
quiescent,intermediate
quiescent,intermediate
proliferative,intermediate
quiescent,intermediate
quiescent,proliferative
intermediate,intermediate
intermediate,quiescent
proliferative,intermediate
intermediate,intermediate
proliferative,proliferative
intermediate,intermediate
intermediate,proliferative
proliferative,intermediate
